2026-03-26 07:37:56 | INFO     | pipeline | ============================================================
2026-03-26 07:37:56 | INFO     | transformer | Loaded 600 rows, 10 symbol(s)
2026-03-26 07:37:56 | INFO     | transformer | Removed 0 duplicate rows
2026-03-26 07:37:56 | INFO     | transformer | Saved 402 rows → /home/riyospace/Documents/new_optimized2/new_optimized/data/cleaned.csv
2026-03-26 07:37:56 | INFO     | pipeline | ============================================================
2026-03-26 07:37:56 | INFO     | pipeline | STAGE 3: VISUALISE
2026-03-26 07:37:56 | INFO     | pipeline | ============================================================
2026-03-26 07:37:57 | INFO     | report | Chart: line_ADBL.png
2026-03-26 07:37:57 | INFO     | report | Chart: line_EBL.png
2026-03-26 07:37:57 | INFO     | report | Chart: line_GBIME.png
2026-03-26 07:37:58 | INFO     | report | Chart: line_NABIL.png
2026-03-26 07:37:58 | INFO     | report | Chart: line_NEPSE.png
2026-03-26 07:37:58 | INFO     | report | Chart: line_NICA.png
2026-03-26 07:37:58 | INFO     | report | Chart: line_NTC.png
2026-03-26 07:37:59 | INFO     | report | Chart: line_SBL.png
2026-03-26 07:37:59 | INFO     | report | Chart: line_SCB.png
2026-03-26 07:37:59 | INFO     | report | Chart: line_UPPER.png
2026-03-26 07:37:59 | INFO     | report | Chart: overlay_close_lines.png
2026-03-26 07:37:59 | INFO     | report | Chart: pct_change_bars.png
2026-03-26 07:38:00 | INFO     | report | Chart: candlestick.png
2026-03-26 07:38:00 | INFO     | report | Chart: volume_bars.png
2026-03-26 07:38:00 | INFO     | report | Chart: correlation_heatmap.png
2026-03-26 07:38:00 | INFO     | report | Chart: cumulative_return.png
2026-03-26 07:38:01 | INFO     | report | Chart: summary_table.png
2026-03-26 07:38:01 | INFO     | report | Chart: nepse_index.png
2026-03-26 07:38:01 | INFO     | report | Generated 18 charts → /home/riyospace/Documents/new_optimized2/new_optimized/reports/2026-03-26/graphs
2026-03-26 07:38:01 | INFO     | pipeline | ============================================================
2026-03-26 07:38:01 | INFO     | pipeline | STAGE 4: REPORT + NOTIFY + EMAIL
2026-03-26 07:38:01 | INFO     | pipeline | ============================================================
2026-03-26 07:38:02 | INFO     | report | PDF saved: /home/riyospace/Documents/new_optimized2/new_optimized/reports/2026-03-26/NEPSE_Report_20260326_073801.pdf
2026-03-26 07:38:02 | INFO     | notifier | Sending email to recipient@example.com …
2026-03-26 07:38:05 | INFO     | notifier | Desktop notification sent.
2026-03-26 07:38:06 | ERROR    | notifier | Auth failed — use a Gmail App Password, not your main password.
2026-03-26 07:38:06 | INFO     | report | Email not sent — check config.
2026-03-26 07:38:06 | INFO     | pipeline | Report ready: /home/riyospace/Documents/new_optimized2/new_optimized/reports/2026-03-26/NEPSE_Report_20260326_073801.pdf
2026-03-26 07:40:56 | INFO     | pipeline | Generating report from current raw.csv data …
2026-03-26 07:40:57 | INFO     | pipeline | ============================================================
2026-03-26 07:40:57 | INFO     | pipeline | STAGE 2: TRANSFORM
2026-03-26 07:40:57 | INFO     | pipeline | ============================================================
2026-03-26 07:40:57 | INFO     | transformer | Loaded 600 rows, 10 symbol(s)
2026-03-26 07:40:57 | INFO     | transformer | Removed 0 duplicate rows
2026-03-26 07:40:57 | INFO     | transformer | Saved 402 rows → /home/riyospace/Documents/new_optimized2/new_optimized/data/cleaned.csv
2026-03-26 07:40:57 | INFO     | pipeline | ============================================================
2026-03-26 07:40:57 | INFO     | pipeline | STAGE 3: VISUALISE
2026-03-26 07:40:57 | INFO     | pipeline | ============================================================
2026-03-26 07:40:58 | INFO     | report | Chart: line_ADBL.png
2026-03-26 07:40:58 | INFO     | report | Chart: line_EBL.png
2026-03-26 07:40:58 | INFO     | report | Chart: line_GBIME.png
2026-03-26 07:40:58 | INFO     | report | Chart: line_NABIL.png
2026-03-26 07:40:59 | INFO     | report | Chart: line_NEPSE.png
2026-03-26 07:40:59 | INFO     | report | Chart: line_NICA.png
2026-03-26 07:40:59 | INFO     | report | Chart: line_NTC.png
2026-03-26 07:40:59 | INFO     | report | Chart: line_SBL.png
2026-03-26 07:40:59 | INFO     | report | Chart: line_SCB.png
2026-03-26 07:41:00 | INFO     | report | Chart: line_UPPER.png
2026-03-26 07:41:00 | INFO     | report | Chart: overlay_close_lines.png
2026-03-26 07:41:00 | INFO     | report | Chart: pct_change_bars.png
2026-03-26 07:41:01 | INFO     | report | Chart: candlestick.png
2026-03-26 07:41:01 | INFO     | report | Chart: volume_bars.png
2026-03-26 07:41:01 | INFO     | report | Chart: correlation_heatmap.png
2026-03-26 07:41:01 | INFO     | report | Chart: cumulative_return.png
2026-03-26 07:41:01 | INFO     | report | Chart: summary_table.png
2026-03-26 07:41:01 | INFO     | report | Chart: nepse_index.png
2026-03-26 07:41:01 | INFO     | report | Generated 18 charts → /home/riyospace/Documents/new_optimized2/new_optimized/reports/2026-03-26/graphs
2026-03-26 07:41:01 | INFO     | pipeline | ============================================================
2026-03-26 07:41:01 | INFO     | pipeline | STAGE 4: REPORT + NOTIFY + EMAIL
2026-03-26 07:41:01 | INFO     | pipeline | ============================================================
2026-03-26 07:41:03 | INFO     | report | PDF saved: /home/riyospace/Documents/new_optimized2/new_optimized/reports/2026-03-26/NEPSE_Report_20260326_074101.pdf
2026-03-26 07:41:03 | INFO     | notifier | Sending email to recipient@example.com …
2026-03-26 07:41:06 | ERROR    | notifier | Auth failed — use a Gmail App Password, not your main password.
2026-03-26 07:41:06 | INFO     | report | Email not sent — check config.
2026-03-26 07:41:06 | INFO     | pipeline | Report ready: /home/riyospace/Documents/new_optimized2/new_optimized/reports/2026-03-26/NEPSE_Report_20260326_074101.pdf
2026-03-26 07:41:10 | INFO     | pipeline | Generating report from current raw.csv data …
2026-03-26 07:41:10 | INFO     | pipeline | ============================================================
2026-03-26 07:41:10 | INFO     | pipeline | STAGE 2: TRANSFORM
2026-03-26 07:41:10 | INFO     | pipeline | ============================================================
2026-03-26 07:41:10 | INFO     | transformer | Loaded 600 rows, 10 symbol(s)
2026-03-26 07:41:10 | INFO     | transformer | Removed 0 duplicate rows
2026-03-26 07:41:10 | INFO     | transformer | Saved 402 rows → /home/riyospace/Documents/new_optimized2/new_optimized/data/cleaned.csv
2026-03-26 07:41:10 | INFO     | pipeline | ============================================================
2026-03-26 07:41:10 | INFO     | pipeline | STAGE 3: VISUALISE
2026-03-26 07:41:10 | INFO     | pipeline | ============================================================
2026-03-26 07:41:11 | INFO     | report | Chart: line_ADBL.png
2026-03-26 07:41:11 | INFO     | report | Chart: line_EBL.png
2026-03-26 07:41:12 | INFO     | report | Chart: line_GBIME.png
